tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7157	0	live	TP53	BCC7, BMFS5, LFS1, P53, TRP53	tumor protein p53	cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53	17p13.1	17	NC_000017.11	7668421	7687490	minus	13	191170	
10116	Rattus norvegicus	24842	0	live	Tp53	Trp53, p53	tumor protein p53	cellular tumor antigen p53|transformation related protein 53|tumor protein p53 (Li-Fraumeni syndrome)|tumor suppressor p53	10q24	10	NC_051345.1	54300070	54311525	plus	12		
7955	Danio rerio	30590	0	live	tp53	brp53, drp53, etID22686.5, fb40d06, p53, wu:fb40d06, zgc:111919	tumor protein p53	cellular tumor antigen p53|delta113 p53|tumor suppressor p53		5	NC_007116.7	24086227	24097807	plus	12		
9615	Canis lupus familiaris	403869	0	live	TP53	P53	tumor protein p53	cellular tumor antigen p53|mutant P53 tumor suppressor protein|tumor protein p53 (Li-Fraumeni syndrome)|tumor suppressor p53|tumor suppressor protein		5	NC_051809.1	32665395	32678721	minus	11		
9823	Sus scrofa	397276	0	live	TP53	P53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		12	NC_010454.4	52939643	52953786	minus	11		
9913	Bos taurus	281542	0	live	TP53		tumor protein p53	cellular tumor antigen p53|p53 tumor suppressor phosphoprotein|tumor protein 53|tumor protein p53 (Li-Fraumeni syndrome)|tumor suppressor p53		19	NC_037346.1	27376071	27388416	minus	11		
9031	Gallus gallus	396200	0	live	TP53		tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		Un	NW_024096016.1	5925	24899	plus	6		
9685	Felis catus	493847	0	live	TP53	TRP53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		E1	NC_058381.1	2528634	2540582	minus	11		
9986	Oryctolagus cuniculus	100009292	0	live	TP53		tumor protein p53	cellular tumor antigen p53|tumor suppressor p53		19	NC_067392.1	9141511	9152947	plus	12		
8090	Oryzias latipes	100049321	0	live	tp53	p53	tumor protein p53	cellular tumor antigen p53|tumor suppressor p53|tumor suppressor protein p53		18	NC_019876.2	14488466	14497260	plus	11		
